Temperatura_Media	Ano	Mes
25.4428	1901	1
25.6852	1901	2
25.4134	1901	3
24.6807	1901	4
24.2498	1901	5
23.6233	1901	6
23.9889	1901	7
24.5464	1901	8
25.4163	1901	9
25.9019	1901	10
25.3493	1901	11
25.2841	1901	12
25.4154	1902	1
25.878	1902	2
25.5431	1902	3
25.2931	1902	4
24.7728	1902	5
24.3457	1902	6
24.0495	1902	7
23.6911	1902	8
25.408	1902	9
25.5335	1902	10
25.9746	1902	11
26.0127	1902	12
25.3233	1903	1
25.7234	1903	2
25.7457	1903	3
25.0774	1903	4
24.1325	1903	5
24.0238	1903	6
23.7238	1903	7
24.1607	1903	8
25.2533	1903	9
25.3112	1903	10
25.4216	1903	11
25.7167	1903	12
25.0649	1904	1
25.4235	1904	2
25.2458	1904	3
24.9627	1904	4
23.6202	1904	5
23.057	1904	6
23.413	1904	7
23.8104	1904	8
24.9	1904	9
25.1578	1904	10
25.3359	1904	11
25.2219	1904	12
25.1291	1905	1
25.4753	1905	2
24.9352	1905	3
24.6405	1905	4
24.6035	1905	5
23.8587	1905	6
23.4819	1905	7
24.1923	1905	8
25.0692	1905	9
26.2031	1905	10
25.6534	1905	11
25.7393	1905	12
25.2387	1906	1
25.3513	1906	2
25.3431	1906	3
24.9139	1906	4
24.5172	1906	5
23.0143	1906	6
23.6138	1906	7
24.4442	1906	8
24.8271	1906	9
25.6293	1906	10
25.668	1906	11
25.5985	1906	12
25.2071	1907	1
25.4104	1907	2
25.713	1907	3
25.0019	1907	4
23.9344	1907	5
23.6279	1907	6
22.872	1907	7
23.7429	1907	8
25.2631	1907	9
25.4562	1907	10
25.5677	1907	11
25.8325	1907	12
25.6288	1908	1
25.9109	1908	2
25.5208	1908	3
25.1811	1908	4
24.4295	1908	5
23.7783	1908	6
23.9447	1908	7
23.624	1908	8
25.3185	1908	9
25.1056	1908	10
25.3861	1908	11
25.8156	1908	12
25.7951	1909	1
25.8793	1909	2
25.5469	1909	3
25.1736	1909	4
23.6469	1909	5
23.4954	1909	6
23.5171	1909	7
24.2436	1909	8
25.1402	1909	9
25.3059	1909	10
25.4995	1909	11
25.3486	1909	12
25.5646	1910	1
25.6468	1910	2
25.1937	1910	3
25.1564	1910	4
23.5008	1910	5
23.8132	1910	6
23.5883	1910	7
24.4406	1910	8
25.2904	1910	9
25.2594	1910	10
25.3558	1910	11
25.349	1910	12
25.2726	1911	1
25.7826	1911	2
24.8326	1911	3
24.8378	1911	4
24.2726	1911	5
23.0571	1911	6
23.0756	1911	7
23.9917	1911	8
24.9372	1911	9
25.3857	1911	10
26.0043	1911	11
25.8802	1911	12
25.5096	1912	1
25.6529	1912	2
25.6174	1912	3
25.2739	1912	4
24.4871	1912	5
23.6283	1912	6
22.413	1912	7
24.2288	1912	8
24.2782	1912	9
25.1787	1912	10
25.6648	1912	11
25.3029	1912	12
25.2876	1913	1
25.5254	1913	2
25.3925	1913	3
25.1836	1913	4
23.9629	1913	5
23.2471	1913	6
23.727	1913	7
23.8924	1913	8
24.7925	1913	9
25.5597	1913	10
25.9073	1913	11
25.4638	1913	12
25.8369	1914	1
25.5387	1914	2
25.7268	1914	3
25.0412	1914	4
23.8815	1914	5
24.174	1914	6
24.2315	1914	7
23.8094	1914	8
25.3626	1914	9
25.6757	1914	10
26.0031	1914	11
25.7589	1914	12
25.944	1915	1
25.7377	1915	2
25.679	1915	3
25.6111	1915	4
25.6675	1915	5
23.1536	1915	6
23.7383	1915	7
24.6544	1915	8
24.8876	1915	9
25.7494	1915	10
25.3486	1915	11
25.498	1915	12
25.5292	1916	1
25.5913	1916	2
25.1363	1916	3
25.0546	1916	4
24.1889	1916	5
22.5399	1916	6
22.9186	1916	7
24.1947	1916	8
25.6236	1916	9
25.2353	1916	10
25.4112	1916	11
25.0807	1916	12
24.9708	1917	1
24.842	1917	2
24.8985	1917	3
24.3538	1917	4
22.6981	1917	5
22.254	1917	6
22.5059	1917	7
23.2899	1917	8
24.6931	1917	9
25.0706	1917	10
25.0748	1917	11
25.0578	1917	12
25.042	1918	1
24.9086	1918	2
25.2893	1918	3
24.808	1918	4
24.0891	1918	5
23.2549	1918	6
22.9302	1918	7
23.6501	1918	8
24.9391	1918	9
25.5817	1918	10
25.7694	1918	11
25.5148	1918	12
25.674	1919	1
26.0504	1919	2
26.0848	1919	3
25.2359	1919	4
25.29	1919	5
24.2317	1919	6
23.8839	1919	7
23.415	1919	8
24.5535	1919	9
25.5344	1919	10
25.531	1919	11
25.4192	1919	12
25.5921	1920	1
25.7305	1920	2
25.4432	1920	3
25.1477	1920	4
23.8878	1920	5
22.7493	1920	6
22.6417	1920	7
23.3441	1920	8
24.9131	1920	9
25.8933	1920	10
25.6618	1920	11
25.2623	1920	12
25.2483	1921	1
25.3842	1921	2
25.2327	1921	3
24.5523	1921	4
24.2148	1921	5
21.9786	1921	6
21.8082	1921	7
24.0452	1921	8
24.5681	1921	9
25.2472	1921	10
24.8733	1921	11
25.5949	1921	12
25.3578	1922	1
25.3545	1922	2
25.1979	1922	3
24.6797	1922	4
23.659	1922	5
22.7558	1922	6
22.6978	1922	7
23.842	1922	8
24.7445	1922	9
24.6716	1922	10
25.1011	1922	11
24.9685	1922	12
25.0443	1923	1
25.121	1923	2
25.0485	1923	3
24.618	1923	4
23.117	1923	5
23.0231	1923	6
22.1502	1923	7
23.8557	1923	8
24.9094	1923	9
25.3086	1923	10
25.3799	1923	11
25.6912	1923	12
25.5478	1924	1
25.4219	1924	2
25.4808	1924	3
24.7834	1924	4
23.3995	1924	5
22.8834	1924	6
22.66	1924	7
22.7177	1924	8
24.4151	1924	9
24.3783	1924	10
25.137	1924	11
25.0816	1924	12
24.8965	1925	1
25.0677	1925	2
24.7	1925	3
25.0513	1925	4
23.8999	1925	5
22.5932	1925	6
22.5757	1925	7
24.3368	1925	8
24.7598	1925	9
25.1201	1925	10
25.3842	1925	11
25.6523	1925	12
25.5491	1926	1
25.7196	1926	2
25.7088	1926	3
24.9825	1926	4
23.5167	1926	5
23.5523	1926	6
22.7634	1926	7
24.1524	1926	8
25.5318	1926	9
25.3885	1926	10
25.7968	1926	11
25.2756	1926	12
25.0293	1927	1
25.1665	1927	2
25.0265	1927	3
24.6888	1927	4
23.5544	1927	5
22.3935	1927	6
22.2642	1927	7
23.6024	1927	8
24.6889	1927	9
25.1525	1927	10
25.6524	1927	11
25.3592	1927	12
25.4502	1928	1
25.6345	1928	2
25.3235	1928	3
25.2868	1928	4
23.9237	1928	5
23.3907	1928	6
22.7564	1928	7
23.1264	1928	8
24.5114	1928	9
25.1445	1928	10
25.4769	1928	11
25.1618	1928	12
25.5329	1929	1
25.314	1929	2
24.9706	1929	3
24.284	1929	4
23.0428	1929	5
22.9651	1929	6
22.8274	1929	7
23.7923	1929	8
24.9791	1929	9
25.4418	1929	10
25.1115	1929	11
24.9743	1929	12
25.1953	1930	1
25.2427	1930	2
25.4132	1930	3
24.814	1930	4
24.316	1930	5
23.9671	1930	6
22.9728	1930	7
24.2035	1930	8
24.7428	1930	9
25.1953	1930	10
25.345	1930	11
25.5114	1930	12
26.0197	1931	1
25.802	1931	2
25.4853	1931	3
25.2081	1931	4
23.6992	1931	5
22.9368	1931	6
23.149	1931	7
23.8836	1931	8
24.4413	1931	9
25.2312	1931	10
25.106	1931	11
25.2408	1931	12
25.0637	1932	1
25.5618	1932	2
25.1899	1932	3
25.4709	1932	4
23.8597	1932	5
23.3241	1932	6
23.8304	1932	7
23.6204	1932	8
25.0153	1932	9
25.4107	1932	10
25.8245	1932	11
25.2882	1932	12
25.3335	1933	1
25.4097	1933	2
25.12	1933	3
24.5199	1933	4
24.0432	1933	5
22.4001	1933	6
22.3603	1933	7
23.8937	1933	8
25.0946	1933	9
25.2572	1933	10
24.9909	1933	11
25.0551	1933	12
25.0627	1934	1
24.769	1934	2
24.8458	1934	3
24.4223	1934	4
23.7542	1934	5
23.2966	1934	6
22.8629	1934	7
23.8021	1934	8
24.6721	1934	9
24.7136	1934	10
25.38	1934	11
25.237	1934	12
25.3874	1935	1
25.133	1935	2
25.3332	1935	3
24.2327	1935	4
23.3859	1935	5
23.2951	1935	6
23.2743	1935	7
23.8411	1935	8
24.7071	1935	9
25.4685	1935	10
25.359	1935	11
25.809	1935	12
25.2986	1936	1
25.3039	1936	2
25.4029	1936	3
25.0622	1936	4
24.9045	1936	5
23.7108	1936	6
23.045	1936	7
23.6173	1936	8
25.1238	1936	9
25.8227	1936	10
25.4456	1936	11
25.4745	1936	12
25.2763	1937	1
25.7709	1937	2
25.4431	1937	3
24.5277	1937	4
23.5626	1937	5
23.5221	1937	6
23.351	1937	7
24.5958	1937	8
25.0222	1937	9
25.1448	1937	10
25.7739	1937	11
25.6087	1937	12
25.5695	1938	1
25.8879	1938	2
25.2354	1938	3
24.4989	1938	4
23.9008	1938	5
23.285	1938	6
23.4273	1938	7
23.7415	1938	8
24.9397	1938	9
25.0261	1938	10
25.2799	1938	11
25.3127	1938	12
25.4231	1939	1
25.2416	1939	2
25.2266	1939	3
24.5872	1939	4
24.4672	1939	5
23.535	1939	6
22.7518	1939	7
24.0005	1939	8
24.655	1939	9
25.6032	1939	10
25.5958	1939	11
25.5389	1939	12
25.4619	1940	1
25.7041	1940	2
25.4869	1940	3
25.0382	1940	4
24.6565	1940	5
23.4778	1940	6
24.0179	1940	7
23.8799	1940	8
24.9313	1940	9
25.4738	1940	10
25.3644	1940	11
26.1085	1940	12
25.7955	1941	1
26.1292	1941	2
25.6799	1941	3
25.8928	1941	4
24.6358	1941	5
23.2953	1941	6
23.6356	1941	7
24.8099	1941	8
24.1058	1941	9
25.8862	1941	10
25.7972	1941	11
26.005	1941	12
26.2564	1942	1
25.7398	1942	2
25.8146	1942	3
25.398	1942	4
24.1434	1942	5
22.9	1942	6
22.3665	1942	7
24.3412	1942	8
25.3922	1942	9
25.5612	1942	10
25.858	1942	11
25.2783	1942	12
25.3621	1943	1
25.3918	1943	2
25.202	1943	3
24.5034	1943	4
24.5286	1943	5
